iter	Passed	Remaining
813	5545	8079
814	5552	8072
815	5559	8066
816	5566	8059
817	5573	8053
818	5580	8046
819	5587	8039
820	5594	8033
821	5601	8027
822	5608	8020
823	5615	8013
824	5622	8007
825	5629	8001
826	5636	7995
827	5644	7989
828	5651	7983
829	5659	7978
830	5666	7971
831	5674	7965
832	5682	7961
833	5691	7956
834	5698	7950
835	5705	7944
836	5712	7938
837	5720	7932
838	5727	7926
839	5735	7920
840	5742	7914
841	5750	7908
842	5758	7903
843	5766	7897
844	5773	7891
845	5780	7885
846	5788	7879
847	5795	7873
848	5803	7867
849	5810	7861
850	5818	7855
851	5825	7849
852	5834	7844
853	5841	7839
854	5849	7833
855	5857	7828
856	5865	7822
857	5872	7815
858	5879	7809
859	5886	7803
860	5893	7796
861	5900	7790
862	5908	7783
863	5915	7777
864	5922	7770
865	5928	7763
866	5935	7757
867	5943	7750
868	5950	7744
869	5957	7737
870	5963	7730
871	5970	7723
872	5977	7716
873	5984	7709
874	5990	7702
875	5997	7695
876	6004	7688
877	6011	7682
878	6018	7675
879	6025	7668
880	6032	7661
881	6039	7655
882	6045	7647
883	6052	7641
884	6059	7634
885	6066	7627
886	6073	7621
887	6080	7614
888	6087	7607
889	6094	7600
890	6101	7593
891	6108	7587
892	6115	7580
893	6122	7574
894	6129	7567
895	6136	7561
896	6143	7554
897	6150	7547
898	6157	7540
899	6164	7534
900	6171	7527
901	6178	7520
902	6185	7514
903	6192	7508
904	6200	7501
905	6206	7494
906	6213	7488
907	6221	7481
908	6228	7475
909	6235	7468
910	6241	7461
911	6249	7454
912	6256	7448
913	6262	7441
914	6269	7434
915	6276	7427
916	6283	7421
917	6290	7414
918	6297	7407
919	6304	7401
920	6312	7395
921	6319	7388
922	6326	7381
923	6333	7375
924	6340	7369
925	6348	7362
926	6355	7356
927	6361	7349
928	6368	7342
929	6375	7334
930	6382	7328
931	6389	7321
932	6396	7315
933	6403	7308
934	6409	7301
935	6416	7294
936	6423	7287
937	6430	7281
938	6437	7274
939	6444	7267
940	6451	7260
941	6457	7252
942	6464	7246
943	6471	7238
944	6478	7232
945	6485	7226
946	6492	7219
947	6500	7213
948	6507	7206
949	6514	7200
950	6522	7194
951	6529	7188
952	6537	7182
953	6544	7176
954	6552	7169
955	6559	7163
956	6566	7156
957	6574	7150
958	6581	7143
959	6587	7136
960	6595	7130
961	6602	7124
962	6609	7117
963	6616	7110
964	6623	7104
965	6630	7097
966	6638	7091
967	6645	7084
968	6652	7077
969	6659	7071
970	6666	7064
971	6674	7058
972	6680	7050
973	6686	7043
974	6693	7036
975	6701	7030
976	6708	7024
977	6715	7017
978	6722	7010
979	6728	7002
980	6733	6994
